Driver,Position
Max Verstappen,11.0
Charles Leclerc,3.0
Carlos Sainz,1.0
Lewis Hamilton,5.0
George Russell,2.0
Fernando Alonso,8.0
Lando Norris,10.0
Sergio Perez,13.0
Oscar Piastri,17.0
Pierre Gasly,14.0
Esteban Ocon,12.0
Nico Hulkenberg,15.0
Alexander Albon,20.0
Lance Stroll,16.0
Yuki Tsunoda,19.0
Valtteri Bottas,18.0
Daniel Ricciardo,
Liam Lawson,7.0
Kevin Magnussen,6.0
Guanyu Zhou,20.0
Nyck de Vries,9.0
Logan Sargeant,18.0
