Driver,Position
Max Verstappen,1.0
Charles Leclerc,9.0
Carlos Sainz,6.0
Lewis Hamilton,13.0
George Russell,3.0
Fernando Alonso,8.0
Lando Norris,2.0
Sergio Perez,7.0
Oscar Piastri,15.0
Pierre Gasly,12.0
Esteban Ocon,18.0
Nico Hulkenberg,10.0
Alexander Albon,14.0
Lance Stroll,11.0
Yuki Tsunoda,17.0
Valtteri Bottas,19.0
Daniel Ricciardo,
Liam Lawson,20.0
Kevin Magnussen,16.0
Guanyu Zhou,20.0
Nyck de Vries,5.0
Logan Sargeant,10.0
