Driver,Position
Max Verstappen,1.0
Charles Leclerc,12.0
Carlos Sainz,3.0
Lewis Hamilton,7.0
George Russell,2.0
Fernando Alonso,4.0
Lando Norris,10.0
Sergio Perez,9.0
Oscar Piastri,6.0
Pierre Gasly,13.0
Esteban Ocon,17.0
Nico Hulkenberg,15.0
Alexander Albon,18.0
Lance Stroll,20.0
Yuki Tsunoda,16.0
Valtteri Bottas,14.0
Daniel Ricciardo,
Liam Lawson,11.0
Kevin Magnussen,19.0
Guanyu Zhou,20.0
Nyck de Vries,8.0
Logan Sargeant,19.0
