Driver,Position
Max Verstappen,3.0
Charles Leclerc,1.0
Carlos Sainz,4.0
Sergio Perez,2.0
Lewis Hamilton,7.0
George Russell,5.0
Lando Norris,11.0
Fernando Alonso,10.0
Esteban Ocon,13.0
Valtteri Bottas,15.0
Daniel Ricciardo,12.0
Kevin Magnussen,16.0
Pierre Gasly,6.0
Nyck de Vries,
Yuki Tsunoda,8.0
Sebastian Vettel,9.0
Guanyu Zhou,14.0
Mick Schumacher,20.0
Alexander Albon,17.0
Lance Stroll,19.0
Nico Hulkenberg,
Nicholas Latifi,18.0
