Driver,Position
Max Verstappen,1.0
Charles Leclerc,2.0
Carlos Sainz,10.0
Sergio Perez,7.0
Lewis Hamilton,13.0
George Russell,11.0
Lando Norris,3.0
Fernando Alonso,5.0
Esteban Ocon,19.0
Valtteri Bottas,8.0
Daniel Ricciardo,6.0
Kevin Magnussen,4.0
Pierre Gasly,17.0
Nyck de Vries,
Yuki Tsunoda,16.0
Sebastian Vettel,9.0
Guanyu Zhou,14.0
Mick Schumacher,12.0
Alexander Albon,20.0
Lance Stroll,15.0
Nico Hulkenberg,
Nicholas Latifi,18.0
