Driver,Position
Max Verstappen,1.0
Charles Leclerc,2.0
Carlos Sainz,3.0
Sergio Perez,5.0
Lewis Hamilton,4.0
George Russell,6.0
Lando Norris,7.0
Fernando Alonso,13.0
Esteban Ocon,12.0
Valtteri Bottas,16.0
Daniel Ricciardo,17.0
Kevin Magnussen,18.0
Pierre Gasly,11.0
Nyck de Vries,
Yuki Tsunoda,9.0
Sebastian Vettel,10.0
Guanyu Zhou,14.0
Mick Schumacher,8.0
Alexander Albon,15.0
Lance Stroll,19.0
Nico Hulkenberg,
Nicholas Latifi,20.0
