Driver,Position
Max Verstappen,2.0
Charles Leclerc,7.0
Carlos Sainz,5.0
Sergio Perez,4.0
Lewis Hamilton,6.0
George Russell,8.0
Lando Norris,11.0
Fernando Alonso,9.0
Esteban Ocon,10.0
Valtteri Bottas,18.0
Daniel Ricciardo,17.0
Kevin Magnussen,16.0
Pierre Gasly,14.0
Nyck de Vries,
Yuki Tsunoda,19.0
Sebastian Vettel,13.0
Guanyu Zhou,20.0
Mick Schumacher,15.0
Alexander Albon,12.0
Lance Stroll,7.0
Nico Hulkenberg,
Nicholas Latifi,20.0
