Year,Month,Rainfall (mm)
1910,10,84.0
1910,11,4.9
1910,12,214.0
1911,1,369.0
1911,2,131.9
1911,3,48.6
1911,4,77.0
1911,5,40.0
1911,6,4.0
1911,7,188.1
1911,8,202.7
1911,9,47.0
1911,10,17.9
1911,11,46.0
1911,12,70.1
1912,1,31.6
1912,2,162.3
1912,3,219.5
1912,4,121.1
1912,5,84.4
1912,6,58.3
1912,7,286.2
1912,8,46.4
1912,9,11.2
1912,10,25.2
1912,11,80.0
1912,12,53.0
1913,1,20.4
1913,2,38.3
1913,3,207.6
1913,4,243.4
1913,5,416.2
1913,6,278.3
1913,7,194.3
1913,8,1.8
1913,9,35.7
1913,10,26.7
1913,11,16.3
1913,12,5.0
1914,1,17.8
1914,2,39.6
1914,3,250.2
1914,4,37.1
1914,5,79.0
1914,6,153.5
1914,7,228.8
1914,8,58.5
1914,9,161.0
1914,10,191.6
1914,11,61.8
1914,12,221.0
1915,1,34.8
1915,2,35.1
1915,3,82.4
1915,4,309.8
1915,5,141.2
1915,6,42.2
1915,7,146.1
1915,8,31.2
1915,9,42.2
1915,10,24.6
1915,11,1.4
1915,12,85.0
1916,1,36.9
1916,2,70.3
1916,3,97.4
1916,4,114.8
1916,5,51.9
1916,6,52.1
1916,7,90.6
1916,8,73.1
1916,9,119.3
1916,10,208.9
1916,11,79.0
1916,12,81.6
1917,1,76.5
1917,2,160.0
1917,3,29.8
1917,4,340.9
1917,5,79.6
1917,6,110.7
1917,7,8.9
1917,8,39.7
1917,9,148.6
1917,10,127.7
1917,11,179.4
1917,12,51.6
1918,1,317.5
1918,2,105.7
1918,3,62.4
1918,4,142.0
1918,5,13.2
1918,6,12.5
1918,7,217.5
1918,8,63.9
1918,9,90.4
1918,10,19.3
1918,11,34.8
1918,12,26.9
1919,1,48.0
1919,2,144.6
1919,3,145.5
1919,4,113.6
1919,5,642.1
1919,6,62.3
1919,7,53.5
1919,8,20.1
1919,9,99.0
1919,10,105.1
1919,11,89.5
1919,12,73.6
1920,1,183.8
1920,2,44.8
1920,3,42.4
1920,4,62.9
1920,5,9.9
1920,6,62.1
1920,7,153.9
1920,8,32.7
1920,9,26.3
1920,10,43.9
1920,11,46.9
1920,12,403.4
1921,1,80.8
1921,2,20.9
1921,3,86.1
1921,4,152.0
1921,5,184.0
1921,6,24.2
1921,7,198.4
1921,8,30.5
1921,9,73.1
1921,10,82.7
1921,11,71.6
1921,12,134.4
1922,1,182.3
1922,2,56.8
1922,3,49.9
1922,4,38.3
1922,5,106.7
1922,6,43.0
1922,7,291.4
1922,8,52.4
1922,9,105.9
1922,10,87.7
1922,11,10.9
1922,12,38.4
1923,1,43.2
1923,2,19.5
1923,3,51.8
1923,4,257.2
1923,5,26.0
1923,6,102.0
1923,7,161.2
1923,8,105.8
1923,9,63.7
1923,10,34.0
1923,11,41.5
1923,12,35.0
1924,1,93.7
1924,2,57.8
1924,3,96.5
1924,4,168.7
1924,5,83.0
1924,6,50.7
1924,7,41.2
1924,8,65.7
1924,9,74.9
1924,10,32.8
1924,11,82.8
1924,12,66.2
1925,1,114.3
1925,2,48.3
1925,3,68.5
1925,4,54.2
1925,5,536.6
1925,6,171.0
1925,7,5.4
1925,8,96.7
1925,9,15.7
1925,10,16.6
1925,11,99.0
1925,12,30.8
1926,1,89.0
1926,2,26.2
1926,3,317.6
1926,4,92.3
1926,5,69.4
1926,6,33.2
1926,7,58.4
1926,8,26.7
1926,9,43.3
1926,10,7.6
1926,11,0.5
1926,12,172.2
1927,1,104.2
1927,2,16.5
1927,3,105.0
1927,4,455.2
1927,5,54.5
1927,6,112.6
1927,7,8.4
1927,8,7.8
1927,9,75.7
1927,10,91.0
1927,11,151.7
1927,12,54.5
1928,1,62.4
1928,2,173.4
1928,3,128.6
1928,4,118.2
1928,5,82.1
1928,6,175.3
1928,7,172.5
1928,8,34.8
1928,9,4.6
1928,10,42.9
1928,11,6.8
1928,12,51.1
1929,1,8.4
1929,2,295.7
1929,3,133.7
1929,4,172.0
1929,5,253.0
1929,6,75.0
1929,7,79.0
1929,8,103.5
1929,9,41.4
1929,10,211.1
1929,11,95.2
1929,12,48.8
1930,1,114.6
1930,2,15.9
1930,3,109.5
1930,4,164.6
1930,5,121.8
1930,6,326.3
1930,7,108.2
1930,8,31.1
1930,9,5.4
1930,10,49.1
1930,11,22.5
1930,12,133.4
1931,1,55.9
1931,2,39.4
1931,3,182.2
1931,4,189.8
1931,5,91.4
1931,6,32.2
1931,7,315.8
1931,8,4.8
1931,9,145.8
1931,10,24.7
1931,11,81.8
1931,12,93.4
1932,1,5.1
1932,2,119.3
1932,3,78.4
1932,4,97.1
1932,5,54.5
1932,6,30.1
1932,7,80.2
1932,8,55.4
1932,9,228.7
1932,10,23.5
1932,11,95.1
1932,12,106.7
1933,1,189.1
1933,2,10.0
1933,3,58.6
1933,4,191.3
1933,5,138.5
1933,6,51.8
1933,7,83.4
1933,8,8.2
1933,9,68.0
1933,10,105.2
1933,11,114.1
1933,12,81.3
1934,1,58.6
1934,2,207.2
1934,3,51.8
1934,4,224.5
1934,5,141.5
