Year,Month,Rainfall (mm)
2014,7,18.9
2014,8,214.2
2014,9,54.8
2014,10,94.2
2014,11,23.7
2014,12,139.7
2015,1,200.6
2015,2,57.7
2015,3,
2015,4,406.1
2015,5,102.5
2015,6,126.3
2015,7,49.0
2015,8,94.0
2015,9,94.1
2015,10,53.1
2015,11,127.9
2015,12,116.8
2016,1,268.2
2016,2,34.2
2016,3,220.8
2016,4,121.1
2016,5,7.9
2016,6,374.8
2016,7,101.8
2016,8,160.9
2016,9,77.8
2016,10,32.1
2016,11,30.2
2016,12,65.5
2017,1,55.6
2017,2,236.0
2017,3,340.1
2017,4,84.8
2017,5,34.3
2017,6,207.2
2017,7,14.8
2017,8,26.4
2017,9,0.6
2017,10,61.0
2017,11,71.8
2017,12,54.0
2018,1,44.8
2018,2,102.4
2018,3,121.6
2018,4,26.3
2018,5,26.4
2018,6,206.8
2018,7,13.1
2018,8,15.1
2018,9,55.3
2018,10,156.2
2018,11,175.6
2018,12,102.7
2019,1,54.7
2019,2,85.4
2019,3,248.7
2019,4,8.2
2019,5,15.4
2019,6,183.3
2019,7,49.3
2019,8,92.1
2019,9,114.2
2019,10,35.6
2019,11,27.0
2019,12,1.9
2020,1,64.4
2020,2,468.2
2020,3,179.1
2020,4,34.8
2020,5,144.9
2020,6,80.4
2020,7,180.5
2020,8,67.0
2020,9,34.2
2020,10,97.9
2020,11,69.6
2020,12,123.5
2021,1,100.5
2021,2,124.1
2021,3,457.2
2021,4,14.8
2021,5,64.3
2021,6,87.6
2021,7,39.6
2021,8,87.8
2021,9,54.8
2021,10,60.8
2021,11,138.7
2021,12,163.3
2022,1,155.8
2022,2,364.4
2022,3,
2022,4,269.1
2022,5,233.5
2022,6,22.5
2022,7,
2022,8,69.4
2022,9,100.3
2022,10,273.7
2022,11,60.0
2022,12,71.2
2023,1,159.0
2023,2,182.4
2023,3,52.6
2023,4,169.2
2023,5,64.2
2023,6,16.4
2023,7,36.6
2023,8,73.6
2023,9,29.7
2023,10,37.8
2023,11,127.3
2023,12,118.3
2024,1,122.2
2024,2,175.5
2024,3,36.0
2024,4,327.4
2024,5,231.7
