ERROR:root:Invalid data at index 60320: {'STATIONS_ID': 433, 'MESS_DATUM': 2002081319, 'QN_8': 1, 'R1': -999.0, 'RS_IND': -999, 'WRTR': 0, 'eor': 'eor'}
ERROR:root:Invalid data at index 60321: {'STATIONS_ID': 433, 'MESS_DATUM': 2002081320, 'QN_8': 1, 'R1': -999.0, 'RS_IND': -999, 'WRTR': 0, 'eor': 'eor'}
ERROR:root:Invalid data at index 60322: {'STATIONS_ID': 433, 'MESS_DATUM': 2002081322, 'QN_8': 1, 'R1': -999.0, 'RS_IND': -999, 'WRTR': 0, 'eor': 'eor'}
ERROR:root:Invalid data at index 60323: {'STATIONS_ID': 433, 'MESS_DATUM': 2002081323, 'QN_8': 1, 'R1': -999.0, 'RS_IND': -999, 'WRTR': 0, 'eor': 'eor'}
ERROR:root:Invalid data at index 60324: {'STATIONS_ID': 433, 'MESS_DATUM': 2002081401, 'QN_8': 1, 'R1': -999.0, 'RS_IND': -999, 'WRTR': 0, 'eor': 'eor'}
ERROR:root:Invalid data at index 60325: {'STATIONS_ID': 433, 'MESS_DATUM': 2002081402, 'QN_8': 1, 'R1': -999.0, 'RS_IND': -999, 'WRTR': 0, 'eor': 'eor'}
ERROR:root:Invalid data at index 60326: {'STATIONS_ID': 433, 'MESS_DATUM': 2002081404, 'QN_8': 1, 'R1': -999.0, 'RS_IND': -999, 'WRTR': 0, 'eor': 'eor'}
ERROR:root:Invalid data at index 60327: {'STATIONS_ID': 433, 'MESS_DATUM': 2002081405, 'QN_8': 1, 'R1': -999.0, 'RS_IND': -999, 'WRTR': 0, 'eor': 'eor'}
ERROR:root:Invalid data at index 60328: {'STATIONS_ID': 433, 'MESS_DATUM': 2002081407, 'QN_8': 1, 'R1': -999.0, 'RS_IND': -999, 'WRTR': 0, 'eor': 'eor'}
ERROR:root:Invalid data at index 60329: {'STATIONS_ID': 433, 'MESS_DATUM': 2002081408, 'QN_8': 1, 'R1': -999.0, 'RS_IND': -999, 'WRTR': 0, 'eor': 'eor'}
ERROR:root:Invalid data at index 78543: {'STATIONS_ID': 433, 'MESS_DATUM': 2004091110, 'QN_8': 1, 'R1': -999.0, 'RS_IND': -999, 'WRTR': 6, 'eor': 'eor'}
ERROR:root:Invalid data at index 78550: {'STATIONS_ID': 433, 'MESS_DATUM': 2004091117, 'QN_8': 1, 'R1': -999.0, 'RS_IND': -999, 'WRTR': 6, 'eor': 'eor'}
ERROR:root:Invalid data at index 78929: {'STATIONS_ID': 433, 'MESS_DATUM': 2004092713, 'QN_8': 1, 'R1': -999.0, 'RS_IND': -999, 'WRTR': 6, 'eor': 'eor'}
ERROR:root:Invalid data at index 80583: {'STATIONS_ID': 433, 'MESS_DATUM': 2004120513, 'QN_8': 1, 'R1': -999.0, 'RS_IND': -999, 'WRTR': 6, 'eor': 'eor'}
ERROR:root:Invalid data at index 89911: {'STATIONS_ID': 433, 'MESS_DATUM': 2005122907, 'QN_8': 3, 'R1': -999.0, 'RS_IND': -999, 'WRTR': 7, 'eor': 'eor'}
ERROR:root:Invalid data at index 89912: {'STATIONS_ID': 433, 'MESS_DATUM': 2005122908, 'QN_8': 3, 'R1': -999.0, 'RS_IND': -999, 'WRTR': 7, 'eor': 'eor'}
ERROR:root:Invalid data at index 89913: {'STATIONS_ID': 433, 'MESS_DATUM': 2005122910, 'QN_8': 3, 'R1': -999.0, 'RS_IND': -999, 'WRTR': 7, 'eor': 'eor'}
ERROR:root:Invalid data at index 89914: {'STATIONS_ID': 433, 'MESS_DATUM': 2005122911, 'QN_8': 3, 'R1': -999.0, 'RS_IND': -999, 'WRTR': 7, 'eor': 'eor'}
ERROR:root:Invalid data at index 89915: {'STATIONS_ID': 433, 'MESS_DATUM': 2005122913, 'QN_8': 3, 'R1': -999.0, 'RS_IND': -999, 'WRTR': 7, 'eor': 'eor'}
ERROR:root:Invalid data at index 89916: {'STATIONS_ID': 433, 'MESS_DATUM': 2005122914, 'QN_8': 3, 'R1': -999.0, 'RS_IND': -999, 'WRTR': 7, 'eor': 'eor'}
ERROR:root:Invalid data at index 90431: {'STATIONS_ID': 433, 'MESS_DATUM': 2006012002, 'QN_8': 3, 'R1': -999.0, 'RS_IND': -999, 'WRTR': 7, 'eor': 'eor'}
ERROR:root:Invalid data at index 90433: {'STATIONS_ID': 433, 'MESS_DATUM': 2006012005, 'QN_8': 3, 'R1': -999.0, 'RS_IND': -999, 'WRTR': 6, 'eor': 'eor'}
ERROR:root:Invalid data at index 91516: {'STATIONS_ID': 433, 'MESS_DATUM': 2006030608, 'QN_8': 3, 'R1': -999.0, 'RS_IND': -999, 'WRTR': 0, 'eor': 'eor'}
ERROR:root:Invalid data at index 99727: {'STATIONS_ID': 433, 'MESS_DATUM': 2007021111, 'QN_8': 3, 'R1': -999.0, 'RS_IND': -999, 'WRTR': 6, 'eor': 'eor'}
ERROR:root:Invalid data at index 99919: {'STATIONS_ID': 433, 'MESS_DATUM': 2007021911, 'QN_8': 3, 'R1': -999.0, 'RS_IND': -999, 'WRTR': 0, 'eor': 'eor'}
ERROR:root:Invalid data at index 101448: {'STATIONS_ID': 433, 'MESS_DATUM': 2007042404, 'QN_8': 3, 'R1': -999.0, 'RS_IND': -999, 'WRTR': 6, 'eor': 'eor'}
ERROR:root:Invalid data at index 101449: {'STATIONS_ID': 433, 'MESS_DATUM': 2007042405, 'QN_8': 3, 'R1': -999.0, 'RS_IND': -999, 'WRTR': 6, 'eor': 'eor'}
ERROR:root:Invalid data at index 235324: {'STATIONS_ID': 433, 'MESS_DATUM': 2022082908, 'QN_8': 3, 'R1': -999.0, 'RS_IND': -999, 'WRTR': -999, 'eor': 'eor'}
ERROR:root:Invalid data at index 235325: {'STATIONS_ID': 433, 'MESS_DATUM': 2022082909, 'QN_8': 3, 'R1': -999.0, 'RS_IND': -999, 'WRTR': -999, 'eor': 'eor'}
ERROR:root:Invalid data at index 235326: {'STATIONS_ID': 433, 'MESS_DATUM': 2022082910, 'QN_8': 3, 'R1': -999.0, 'RS_IND': -999, 'WRTR': -999, 'eor': 'eor'}
ERROR:root:Invalid data at index 235327: {'STATIONS_ID': 433, 'MESS_DATUM': 2022082911, 'QN_8': 3, 'R1': -999.0, 'RS_IND': -999, 'WRTR': -999, 'eor': 'eor'}
ERROR:root:Invalid data at index 235328: {'STATIONS_ID': 433, 'MESS_DATUM': 2022082912, 'QN_8': 3, 'R1': -999.0, 'RS_IND': -999, 'WRTR': -999, 'eor': 'eor'}
ERROR:root:Invalid data at index 235329: {'STATIONS_ID': 433, 'MESS_DATUM': 2022082913, 'QN_8': 3, 'R1': -999.0, 'RS_IND': -999, 'WRTR': -999, 'eor': 'eor'}
ERROR:root:Invalid data at index 235330: {'STATIONS_ID': 433, 'MESS_DATUM': 2022082914, 'QN_8': 3, 'R1': -999.0, 'RS_IND': -999, 'WRTR': -999, 'eor': 'eor'}
ERROR:root:Invalid data at index 235331: {'STATIONS_ID': 433, 'MESS_DATUM': 2022082915, 'QN_8': 3, 'R1': -999.0, 'RS_IND': -999, 'WRTR': -999, 'eor': 'eor'}
ERROR:root:Invalid data at index 235332: {'STATIONS_ID': 433, 'MESS_DATUM': 2022082916, 'QN_8': 3, 'R1': -999.0, 'RS_IND': -999, 'WRTR': -999, 'eor': 'eor'}
ERROR:root:Invalid data at index 235333: {'STATIONS_ID': 433, 'MESS_DATUM': 2022082917, 'QN_8': 3, 'R1': -999.0, 'RS_IND': -999, 'WRTR': -999, 'eor': 'eor'}
ERROR:root:Invalid data at index 235334: {'STATIONS_ID': 433, 'MESS_DATUM': 2022082918, 'QN_8': 3, 'R1': -999.0, 'RS_IND': -999, 'WRTR': -999, 'eor': 'eor'}
ERROR:root:Invalid data at index 235335: {'STATIONS_ID': 433, 'MESS_DATUM': 2022082919, 'QN_8': 3, 'R1': -999.0, 'RS_IND': -999, 'WRTR': -999, 'eor': 'eor'}
ERROR:root:Invalid data at index 235336: {'STATIONS_ID': 433, 'MESS_DATUM': 2022082920, 'QN_8': 3, 'R1': -999.0, 'RS_IND': -999, 'WRTR': -999, 'eor': 'eor'}
